osm_type,osm_id,name,lat,lon,parking,access,fee
way,1150313895,,33.497935,126.516959,,,
way,1150313903,,33.499735,126.515764,,,
way,1150313946,,33.500111,126.519305,,,
way,1150314008,,33.498842,126.513311,,,
way,1150314035,,33.499425,126.514799,surface,,
way,1150314036,,33.498709,126.514812,,,
way,1150314037,,33.498489,126.514984,,,
way,1150314038,,33.498472,126.515462,,,
way,1150325475,,33.496617,126.518803,,,
way,1150325476,,33.496482,126.519490,,,
way,1150325523,,33.498864,126.516595,surface,,
way,1150363996,,33.536751,126.638153,surface,,no
way,1150366154,,33.536563,126.638509,,,
way,1150973543,,33.517911,126.522216,surface,,
way,1150973544,,33.517869,126.522491,surface,,
way,1150973545,,33.517776,126.522948,,,
way,1150973546,,33.517744,126.523068,,,
way,1150973547,,33.517468,126.522937,,,
way,1150973549,,33.517527,126.522738,surface,,
way,1150973550,,33.517687,126.522577,surface,,
way,1150973578,,33.513714,126.517994,surface,,
way,1150973579,,33.514726,126.517277,street_side,,
way,1152637768,용눈이오름주차장,33.463142,126.831651,surface,,
way,1157352231,,33.557244,126.818621,,,
way,1157352243,,33.559628,126.818428,,,
way,1157352244,,33.559783,126.818736,,,
way,1157352246,,33.557840,126.812905,,,
way,1157352247,,33.557716,126.813348,,,
way,1157352248,,33.557556,126.813491,,,
way,1157352254,,33.557143,126.811855,,,
way,1157355159,,33.554567,126.808460,surface,,
way,1157355160,,33.554445,126.808340,surface,,
way,1157355269,,33.557394,126.812991,,,
way,1157355270,,33.557538,126.812868,,,
way,1165605097,,33.509438,126.903843,,,
way,1167399338,,33.494827,126.908732,,,
way,1168910578,,33.518351,126.959346,,,
way,1173845947,,33.454960,126.712191,,,
way,1175546180,,33.285182,126.337676,,,
way,1175559213,,33.337261,126.175258,,,
way,1175559214,,33.337152,126.175180,,,
way,1177278050,,33.260494,126.329896,,,
way,1185642549,,33.451366,126.655586,,,
way,1199327068,,33.531954,126.818627,,,
way,1199335943,,33.436734,126.554939,,,
way,1199337810,,33.422190,126.550607,,,yes
way,1203429947,,33.500453,126.505371,surface,customers,
way,1204807362,,33.398825,126.423962,surface,,
way,1209070304,국립제주호국원 주차장,33.413848,126.493758,,,no
way,1212434054,사려니숲길주차장,33.434332,126.637900,,,
way,1238915393,,33.308462,126.472336,surface,yes,no
way,1239805817,,33.262550,126.426746,surface,,no
way,1239827613,,33.289093,126.457133,surface,customers,no
way,1239827614,,33.289381,126.455806,surface,customers,no
way,1239827615,,33.290239,126.456047,surface,customers,no
way,1239827616,,33.290203,126.455258,surface,customers,no
way,1239838958,,33.238917,126.288970,surface,,no
way,1250095038,,33.350946,126.305711,,,
way,1250096874,,33.384504,126.758232,,,
way,1250098069,,33.360782,126.692740,,,
way,1250099372,,33.402928,126.408325,,,
way,1250100092,,33.391209,126.398647,,,
way,1250101087,,33.335223,126.622568,,,
way,1250103302,,33.244811,126.419451,,,
