주차장관리번호,주차장명,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,요금정보,위도,경도
406-2-000104,태흥2리 마을회관 인근 공영주차장,노외,,제주특별자치도 서귀포시 남원읍 태흥리 570,15,무료,33.2879031,126.7450875
406-2-000105,호근동 공영주차장,노외,,제주특별자치도 서귀포시 호근동 1763-2,30,무료,33.25759005,126.528151
406-2-000106,대평공영주차장,노외,,제주특별자치도 서귀포시 안덕면 창천리 930-5,36,혼합,33.2384865,126.365727
406-2-000107,솔동산공영주차장,노외,,제주특별자치도 서귀포시 서귀동 585-5,12,혼합,33.24404328,126.5639136
406-2-000108,정방 노외공영주차장,노외,,제주특별자치도 서귀포시 서귀동 403-3,37,혼합,33.24784209,126.565255
406-2-000109,하효공영주차장,노외,,제주특별자치도 서귀포시 하효동 148-3,22,무료,33.26290445,126.6163609
406-2-000110,도순마을 복지회관 옆 공영주차장,노외,,제주특별자치도 서귀포시 도순동 276-5,17,무료,33.25084301,126.475843
406-2-000111,서홍 공영주차장,노외,제주특별자치도 서귀포시 솜반천로6번길 17,제주특별자치도 서귀포시 서홍동 397-14,97,혼합,33.25605332,126.559301
406-2-000112,동홍 공영노외4 주차장,노외,,제주특별자치도 서귀포시 동홍동 1227-2,68,무료,33.26433046,126.570903
406-2-000113,모슬포중앙시장 공영주차장,노외,,제주특별자치도 서귀포시 대정읍 하모리 822-5,92,무료,33.22140917,126.2547379
