위도,경도
33.25069809,126.2227707
33.25061798,126.2219925
33.25041199,126.2211151
33.24991226,126.2205887
33.24932861,126.2200546
33.25731277,126.2288971
33.25791168,126.2283401
33.25827789,126.2284012
33.25872421,126.2290878
33.25867462,126.2301254
33.25790405,126.2299805
33.25746536,126.2292938
33.25701141,126.2285538
33.25658035,126.2279053
33.25621033,126.2272491
33.25682068,126.2267075
33.25745773,126.2270737
33.25785446,126.2277603
33.25759506,126.2284927
33.25625992,126.2276611
33.25670242,126.2283401
33.25712204,126.2290268
33.25755692,126.2297134
33.25799942,126.2304077
33.25900269,126.2299957
33.25928497,126.2296829
33.25899887,126.2293701
33.25852585,126.2286224
33.25815964,126.2279587
33.25772095,126.227356
33.25736237,126.2262573
33.25705719,126.2263947
33.25643921,126.2268982
33.23867416,126.2288589
33.23888397,126.2289276
33.23903656,126.2287216
33.23893738,126.2285309
33.23831177,126.2287369
33.23833084,126.2289581
33.2456398,126.2746353
33.24595261,126.274971
33.24623871,126.275383
33.24651718,126.2756424
33.2468605,126.2760239
33.24714279,126.2763824
33.24742126,126.276825
33.24751663,126.277153
33.24767303,126.2775192
33.24781036,126.2779465
33.2480278,126.2784882
33.24822617,126.279007
33.24832916,126.2793045
33.24846649,126.2796173
33.24863434,126.2801361
33.24882507,126.2806168
33.24901199,126.2810822
33.24913406,126.2814255
33.24922562,126.2817459
33.24942398,126.2822571
33.24957275,126.282692
33.24986267,126.2822342
33.2497406,126.2824936
33.2496109,126.2821579
33.24944687,126.2817154
33.2492981,126.2813034
33.24921036,126.2809906
33.24900818,126.2805252
33.24882507,126.2800446
33.24863052,126.279541
33.24847412,126.2791061
33.24840164,126.2789078
33.24820328,126.2783813
33.24803162,126.2778549
33.24785233,126.2774124
33.24772263,126.2769547
33.24762726,126.2766876
33.24730301,126.2762146
33.24700546,126.2758179
33.24658585,126.2753525
33.24639511,126.2751389
33.24606705,126.2748184
33.24580383,126.2744751
33.2470665,126.2763596
33.24690247,126.2765427
33.24669647,126.2766037
33.24645996,126.2765503
33.24695587,126.2762604
33.24526978,126.2856369
33.24625778,126.2855682
33.2473259,126.285141
33.24752426,126.2850647
33.24798584,126.2848969
33.24913788,126.2844315
33.24965668,126.2842178
33.24962997,126.2840805
33.24840164,126.284584
33.2477951,126.2848282
33.24749756,126.2849426
33.24671555,126.2852478
33.24566269,126.2855606
33.24454117,126.2853546
33.23403168,126.2659225
33.23433304,126.2661743
33.23458099,126.2663651
33.2348175,126.266571
33.23503113,126.2667236
33.23527908,126.266922
33.23551941,126.2671127
33.23589706,126.2674179
33.23618317,126.2676315
33.23645401,126.2678528
33.23670959,126.2680664
33.23699951,126.2682877
33.23723984,126.268486
33.2375145,126.2686996
33.23784637,126.2689667
33.25022507,126.2854004
33.25018692,126.2849579
33.25015259,126.2843628
33.25041199,126.2839355
33.25087738,126.2837524
33.25128174,126.2836456
33.25123596,126.2834091
33.25077438,126.2835312
33.25030518,126.2836914
33.25006104,126.2836151
33.24970245,126.2831726
33.24983978,126.2837296
33.24991226,126.2842026
33.24988174,126.2846451
33.24995804,126.2852554
33.2528038,126.2835922
33.25322723,126.2837372
33.25367737,126.2839966
33.25395584,126.2841492
33.25428391,126.2844009
33.25469208,126.2847137
33.25466919,126.2844391
33.25435638,126.2841415
33.25406647,126.2837448
33.25374985,126.2835159
33.25364304,126.2836227
33.25320435,126.2835007
33.25273895,126.2833786
33.25795746,126.2877884
33.25758362,126.2874451
33.25735474,126.2870255
33.25738907,126.2869415
33.25705338,126.2867966
33.25663376,126.2864685
33.25629044,126.2861328
33.25619888,126.2862854
33.25652313,126.2866211
33.2568512,126.2870255
33.25727463,126.2873917
33.25754166,126.2876663
33.25784302,126.287941
33.26311874,126.291954
33.2627182,126.2915726
33.26241302,126.2910614
33.26223373,126.2909164
33.262043,126.2910538
33.26174927,126.290802
33.26136398,126.2905121
33.26130676,126.2907104
33.26171875,126.2910461
33.26210785,126.2913208
33.26229858,126.2915649
33.26275635,126.291893
33.26309586,126.2922287
33.26781845,126.2968369
33.26758575,126.2966461
33.26746368,126.2968063
33.26774979,126.2970734
33.28427124,126.2772751
